Source,Target,Type,Id,Label,Weight,edgeid
19.0,3688.0,Undirected,13721,,0.098638,164
19.0,3760.0,Undirected,13722,,0.098638,165
19.0,3783.0,Undirected,13723,,1.8663,166
19.0,3903.0,Undirected,13724,,0.098638,167
19.0,3947.0,Undirected,13725,,0.098638,168
19.0,4657.0,Undirected,13726,,0.098638,169
20.0,33.0,Undirected,13727,,1.497995,170
20.0,57.0,Undirected,13728,,0.483413,171
20.0,64.0,Undirected,13729,,0.709115,172
20.0,66.0,Undirected,13730,,0.53856,173
20.0,110.0,Undirected,13731,,0.112762,174
20.0,128.0,Undirected,13732,,0.53856,175
20.0,150.0,Undirected,13733,,0.304653,176
20.0,169.0,Undirected,13734,,0.063866,177
20.0,206.0,Undirected,13735,,0.112762,178
20.0,219.0,Undirected,13736,,0.841967,179
20.0,254.0,Undirected,13737,,0.43619,180
20.0,315.0,Undirected,13738,,6.380436,181
20.0,360.0,Undirected,13739,,0.112762,182
20.0,410.0,Undirected,13740,,0.304653,183
20.0,490.0,Undirected,13741,,0.490609,184
20.0,645.0,Undirected,13742,,0.063866,185
20.0,670.0,Undirected,13743,,0.53856,186
20.0,1373.0,Undirected,13744,,1.410375,187
20.0,1448.0,Undirected,13745,,0.841967,188
21.0,79.0,Undirected,13746,,0.560544,189
21.0,131.0,Undirected,13747,,0.020473,190
21.0,166.0,Undirected,13748,,0.455313,191
21.0,208.0,Undirected,13749,,1.8663,192
21.0,212.0,Undirected,13750,,2.132003,193
21.0,224.0,Undirected,13751,,0.641125,194
21.0,331.0,Undirected,13752,,0.020473,195
21.0,416.0,Undirected,13753,,0.455313,196
21.0,435.0,Undirected,13754,,0.455313,197
21.0,445.0,Undirected,13755,,1.00885,198
21.0,448.0,Undirected,13756,,2.964912,199
21.0,1215.0,Undirected,13757,,1.234522,200
21.0,1694.0,Undirected,13758,,0.455313,201
21.0,1735.0,Undirected,13759,,0.455313,202
22.0,57.0,Undirected,13760,,0.214119,203
22.0,64.0,Undirected,13761,,4.633845,204
22.0,66.0,Undirected,13762,,3.389244,205
22.0,80.0,Undirected,13763,,0.721033,206
22.0,91.0,Undirected,13764,,0.721033,207
22.0,94.0,Undirected,13765,,1.402176,208
22.0,100.0,Undirected,13766,,0.048151,209
22.0,111.0,Undirected,13767,,0.108825,210
22.0,115.0,Undirected,13768,,2.034698,211
22.0,116.0,Undirected,13769,,4.798277,212
22.0,185.0,Undirected,13770,,0.214119,213
22.0,254.0,Undirected,13771,,0.259933,214
22.0,267.0,Undirected,13772,,0.048151,215
22.0,297.0,Undirected,13773,,1.402176,216
22.0,352.0,Undirected,13774,,2.034698,217
22.0,365.0,Undirected,13775,,0.214119,218
22.0,395.0,Undirected,13776,,0.259933,219
22.0,474.0,Undirected,13777,,0.721033,220
22.0,482.0,Undirected,13778,,0.214119,221
22.0,490.0,Undirected,13779,,0.11168,222
22.0,530.0,Undirected,13780,,0.79604,223
22.0,581.0,Undirected,13781,,0.79604,224
22.0,681.0,Undirected,13782,,0.616655,225
22.0,692.0,Undirected,13783,,0.214119,226
22.0,1015.0,Undirected,13784,,2.034698,227
23.0,53.0,Undirected,13785,,1.961842,228
23.0,68.0,Undirected,13786,,0.81165,229
23.0,512.0,Undirected,13787,,0.28315,230
23.0,546.0,Undirected,13788,,0.364035,231
23.0,598.0,Undirected,13789,,0.28315,232
24.0,49.0,Undirected,13790,,0.943565,233
24.0,286.0,Undirected,13791,,1.318451,234
24.0,400.0,Undirected,13792,,3.17998,235
