k;Nk;Pk;logk;logPk;empty;target_source;count
;;;;;;84;11
;;;;;;85;4
;;;;;;86;10
;;;;;;86;10
;;;;;;86;10
;;;;;;86;10
;;;;;;86;10
;;;;;;86;10
;;;;;;87;7
;;;;;;87;7
;;;;;;87;7
;;;;;;87;7
;;;;;;87;7
;;;;;;88;13
;;;;;;88;13
;;;;;;88;13
;;;;;;88;13
;;;;;;88;13
;;;;;;88;13
;;;;;;88;13
;;;;;;88;13
;;;;;;89;9
;;;;;;89;9
;;;;;;89;9
;;;;;;89;9
;;;;;;90;16
;;;;;;90;16
;;;;;;90;16
;;;;;;90;16
;;;;;;90;16
;;;;;;90;16
;;;;;;90;16
;;;;;;90;16
;;;;;;90;16
;;;;;;91;13
;;;;;;91;13
;;;;;;91;13
;;;;;;91;13
;;;;;;92;10
;;;;;;92;10
;;;;;;92;10
;;;;;;92;10
;;;;;;92;10
;;;;;;93;17
;;;;;;93;17
;;;;;;93;17
;;;;;;93;17
;;;;;;93;17
;;;;;;93;17
;;;;;;93;17
;;;;;;93;17
;;;;;;93;17
;;;;;;93;17
;;;;;;94;10
;;;;;;94;10
;;;;;;94;10
;;;;;;94;10
;;;;;;95;10
;;;;;;95;10
;;;;;;95;10
;;;;;;95;10
;;;;;;96;13
;;;;;;96;13
;;;;;;96;13
;;;;;;96;13
;;;;;;96;13
;;;;;;97;13
;;;;;;97;13
;;;;;;97;13
;;;;;;97;13
;;;;;;97;13
;;;;;;97;13
;;;;;;97;13
;;;;;;98;10
;;;;;;98;10
;;;;;;98;10
;;;;;;98;10
;;;;;;98;10
;;;;;;98;10
;;;;;;99;10
;;;;;;99;10
;;;;;;99;10
;;;;;;99;10
;;;;;;99;10
;;;;;;100;11
;;;;;;100;11
;;;;;;100;11
;;;;;;100;11
;;;;;;100;11
;;;;;;100;11
;;;;;;100;11
;;;;;;101;14
;;;;;;101;14
;;;;;;101;14
;;;;;;101;14
;;;;;;101;14
;;;;;;101;14
;;;;;;101;14
;;;;;;102;13
;;;;;;102;13
;;;;;;102;13
;;;;;;102;13
;;;;;;102;13
;;;;;;102;13
;;;;;;102;13
;;;;;;102;13
;;;;;;102;13
;;;;;;103;13
;;;;;;103;13
;;;;;;103;13
;;;;;;103;13
;;;;;;103;13
;;;;;;103;13
;;;;;;103;13
;;;;;;103;13
;;;;;;103;13
;;;;;;104;13
;;;;;;104;13
;;;;;;104;13
;;;;;;104;13
;;;;;;104;13
;;;;;;104;13
;;;;;;104;13
;;;;;;105;10
;;;;;;105;10
;;;;;;105;10
;;;;;;105;10
;;;;;;105;10
;;;;;;105;10
;;;;;;105;10
;;;;;;105;10
;;;;;;106;8
;;;;;;106;8
;;;;;;106;8
;;;;;;106;8
;;;;;;107;5
;;;;;;107;5
;;;;;;107;5
;;;;;;108;10
;;;;;;108;10
;;;;;;108;10
;;;;;;108;10
;;;;;;108;10
;;;;;;109;11
;;;;;;109;11
;;;;;;109;11
;;;;;;109;11
;;;;;;109;11
;;;;;;110;15
;;;;;;110;15
;;;;;;110;15
;;;;;;110;15
;;;;;;110;15
;;;;;;110;15
;;;;;;111;10
;;;;;;111;10
;;;;;;111;10
;;;;;;111;10
;;;;;;112;10
;;;;;;112;10
;;;;;;112;10
;;;;;;112;10
;;;;;;113;6
;;;;;;113;6
;;;;;;113;6
;;;;;;114;21
;;;;;;114;21
;;;;;;114;21
;;;;;;114;21
;;;;;;114;21
;;;;;;114;21
;;;;;;114;21
;;;;;;114;21
;;;;;;114;21
;;;;;;114;21
;;;;;;114;21
;;;;;;114;21
;;;;;;115;10
;;;;;;115;10
;;;;;;115;10
;;;;;;115;10
;;;;;;115;10
;;;;;;116;9
;;;;;;116;9
;;;;;;116;9
;;;;;;116;9
;;;;;;117;13
;;;;;;117;13
;;;;;;117;13
;;;;;;117;13
;;;;;;117;13
;;;;;;117;13
;;;;;;117;13
;;;;;;117;13
;;;;;;118;11
;;;;;;118;11
;;;;;;118;11
;;;;;;118;11
;;;;;;118;11
;;;;;;119;7
;;;;;;119;7
;;;;;;119;7
;;;;;;119;7
;;;;;;119;7
;;;;;;119;7
;;;;;;120;9
;;;;;;120;9
;;;;;;120;9
;;;;;;121;11
;;;;;;121;11
;;;;;;121;11
;;;;;;121;11
;;;;;;121;11
;;;;;;122;12
;;;;;;122;12
;;;;;;122;12
;;;;;;122;12
;;;;;;122;12
;;;;;;122;12
;;;;;;122;12
;;;;;;122;12
;;;;;;123;9
;;;;;;123;9
;;;;;;123;9
;;;;;;123;9
;;;;;;124;9
;;;;;;124;9
;;;;;;124;9
;;;;;;124;9
;;;;;;124;9
;;;;;;125;9
;;;;;;125;9
;;;;;;126;10
;;;;;;126;10
;;;;;;127;8
;;;;;;127;8
;;;;;;127;8
;;;;;;127;8
;;;;;;128;11
;;;;;;128;11
;;;;;;128;11
;;;;;;128;11
;;;;;;128;11
;;;;;;128;11
;;;;;;128;11
;;;;;;128;11
;;;;;;129;11
;;;;;;129;11
;;;;;;129;11
;;;;;;129;11
;;;;;;129;11
;;;;;;130;17
;;;;;;130;17
;;;;;;130;17
;;;;;;130;17
;;;;;;130;17
;;;;;;130;17
;;;;;;130;17
;;;;;;130;17
;;;;;;130;17
;;;;;;130;17
;;;;;;130;17
;;;;;;130;17
;;;;;;131;14
;;;;;;131;14
;;;;;;131;14
;;;;;;131;14
;;;;;;131;14
;;;;;;131;14
;;;;;;131;14
;;;;;;131;14
;;;;;;132;9
;;;;;;132;9
;;;;;;132;9
;;;;;;132;9
;;;;;;132;9
;;;;;;133;13
;;;;;;133;13
;;;;;;133;13
;;;;;;133;13
;;;;;;133;13
