k;Nk;Pk;Logk;LokPk;;;
;0;0;#¡NUM!;#¡NUM!;;2116;29
;0;0;#¡NUM!;#¡NUM!;;2119;6
;0;0;#¡NUM!;#¡NUM!;;2145;4
;0;0;#¡NUM!;#¡NUM!;;2320;47
;0;0;#¡NUM!;#¡NUM!;;2424;27
;0;0;#¡NUM!;#¡NUM!;;2466;18
;0;0;#¡NUM!;#¡NUM!;;2493;34
;0;0;#¡NUM!;#¡NUM!;;1680;22
;0;0;#¡NUM!;#¡NUM!;;2076;6
;0;0;#¡NUM!;#¡NUM!;;2182;31
;0;0;#¡NUM!;#¡NUM!;;2428;16
;0;0;#¡NUM!;#¡NUM!;;2435;21
;0;0;#¡NUM!;#¡NUM!;;2454;28
;0;0;#¡NUM!;#¡NUM!;;2456;12
;0;0;#¡NUM!;#¡NUM!;;1420;22
;0;0;#¡NUM!;#¡NUM!;;1598;95
;0;0;#¡NUM!;#¡NUM!;;1624;9
;0;0;#¡NUM!;#¡NUM!;;1644;6
;0;0;#¡NUM!;#¡NUM!;;1749;24
;0;0;#¡NUM!;#¡NUM!;;1841;21
;0;0;#¡NUM!;#¡NUM!;;2006;8
;0;0;#¡NUM!;#¡NUM!;;2229;1
;0;0;#¡NUM!;#¡NUM!;;2292;9
;0;0;#¡NUM!;#¡NUM!;;2319;2
;0;0;#¡NUM!;#¡NUM!;;2419;6
;0;0;#¡NUM!;#¡NUM!;;2571;33
;0;0;#¡NUM!;#¡NUM!;;2646;6
;0;0;#¡NUM!;#¡NUM!;;1698;87
;0;0;#¡NUM!;#¡NUM!;;1988;16
;0;0;#¡NUM!;#¡NUM!;;2168;43
;0;0;#¡NUM!;#¡NUM!;;2023;4
;0;0;#¡NUM!;#¡NUM!;;2555;13
;0;0;#¡NUM!;#¡NUM!;;1598;95
;0;0;#¡NUM!;#¡NUM!;;1598;95
;0;0;#¡NUM!;#¡NUM!;;1703;11
;0;0;#¡NUM!;#¡NUM!;;2006;8
;0;0;#¡NUM!;#¡NUM!;;2028;6
;0;0;#¡NUM!;#¡NUM!;;2034;2
;0;0;#¡NUM!;#¡NUM!;;2337;16
;0;0;#¡NUM!;#¡NUM!;;2503;24
;0;0;#¡NUM!;#¡NUM!;;1598;95
;0;0;#¡NUM!;#¡NUM!;;2237;48
;0;0;#¡NUM!;#¡NUM!;;2003;9
;0;0;#¡NUM!;#¡NUM!;;2005;3
;0;0;#¡NUM!;#¡NUM!;;2374;57
;0;0;#¡NUM!;#¡NUM!;;1409;15
;0;0;#¡NUM!;#¡NUM!;;1466;18
;0;0;#¡NUM!;#¡NUM!;;1467;10
;0;0;#¡NUM!;#¡NUM!;;1489;15
;0;0;#¡NUM!;#¡NUM!;;1820;24
;0;0;#¡NUM!;#¡NUM!;;1821;17
;0;0;#¡NUM!;#¡NUM!;;1962;58
;0;0;#¡NUM!;#¡NUM!;;2494;5
;0;0;#¡NUM!;#¡NUM!;;2591;2
;0;0;#¡NUM!;#¡NUM!;;1413;8
;0;0;#¡NUM!;#¡NUM!;;1415;10
;0;0;#¡NUM!;#¡NUM!;;1436;10
;0;0;#¡NUM!;#¡NUM!;;1440;10
;0;0;#¡NUM!;#¡NUM!;;1442;13
;0;0;#¡NUM!;#¡NUM!;;1478;8
;0;0;#¡NUM!;#¡NUM!;;1480;14
;0;0;#¡NUM!;#¡NUM!;;2147;38
;0;0;#¡NUM!;#¡NUM!;;1518;30
;0;0;#¡NUM!;#¡NUM!;;1417;2
;0;0;#¡NUM!;#¡NUM!;;1434;15
;0;0;#¡NUM!;#¡NUM!;;1442;13
;0;0;#¡NUM!;#¡NUM!;;1813;4
;0;0;#¡NUM!;#¡NUM!;;2083;78
;0;0;#¡NUM!;#¡NUM!;;2517;76
;0;0;#¡NUM!;#¡NUM!;;1475;4
;0;0;#¡NUM!;#¡NUM!;;1698;87
;0;0;#¡NUM!;#¡NUM!;;2193;22
;0;0;#¡NUM!;#¡NUM!;;2090;19
;0;0;#¡NUM!;#¡NUM!;;2528;68
;0;0;#¡NUM!;#¡NUM!;;2552;14
;0;0;#¡NUM!;#¡NUM!;;2616;95
;0;0;#¡NUM!;#¡NUM!;;1485;25
;0;0;#¡NUM!;#¡NUM!;;1790;46
;0;0;#¡NUM!;#¡NUM!;;1791;24
;0;0;#¡NUM!;#¡NUM!;;1944;68
;0;0;#¡NUM!;#¡NUM!;;2062;3
;0;0;#¡NUM!;#¡NUM!;;2072;13
;0;0;#¡NUM!;#¡NUM!;;2117;10
;0;0;#¡NUM!;#¡NUM!;;2119;6
;0;0;#¡NUM!;#¡NUM!;;2362;20
;0;0;#¡NUM!;#¡NUM!;;2464;7
;0;0;#¡NUM!;#¡NUM!;;2473;44
;0;0;#¡NUM!;#¡NUM!;;1415;10
;0;0;#¡NUM!;#¡NUM!;;1434;15
;0;0;#¡NUM!;#¡NUM!;;1442;13
;0;0;#¡NUM!;#¡NUM!;;1480;14
;0;0;#¡NUM!;#¡NUM!;;2083;78
;0;0;#¡NUM!;#¡NUM!;;2517;76
;0;0;#¡NUM!;#¡NUM!;;1985;17
;0;0;#¡NUM!;#¡NUM!;;2037;20
;0;0;#¡NUM!;#¡NUM!;;2083;78
;0;0;#¡NUM!;#¡NUM!;;2594;44
;0;0;#¡NUM!;#¡NUM!;;1415;10
;0;0;#¡NUM!;#¡NUM!;;1434;15
;0;0;#¡NUM!;#¡NUM!;;1436;10
;0;0;#¡NUM!;#¡NUM!;;1440;10
;0;0;#¡NUM!;#¡NUM!;;1480;14
;0;0;#¡NUM!;#¡NUM!;;1813;4
;0;0;#¡NUM!;#¡NUM!;;2067;22
;0;0;#¡NUM!;#¡NUM!;;2083;78
;0;0;#¡NUM!;#¡NUM!;;1565;7
;0;0;#¡NUM!;#¡NUM!;;2374;57
;0;0;#¡NUM!;#¡NUM!;;2635;18
;0;0;#¡NUM!;#¡NUM!;;2217;32
;0;0;#¡NUM!;#¡NUM!;;2237;48
;0;0;#¡NUM!;#¡NUM!;;1614;3
;0;0;#¡NUM!;#¡NUM!;;1970;7
;0;0;#¡NUM!;#¡NUM!;;2254;1
;0;0;#¡NUM!;#¡NUM!;;1576;23
;0;0;#¡NUM!;#¡NUM!;;2211;60
;0;0;#¡NUM!;#¡NUM!;;2257;25
;0;0;#¡NUM!;#¡NUM!;;2289;32
;0;0;#¡NUM!;#¡NUM!;;1448;23
;0;0;#¡NUM!;#¡NUM!;;1448;23
;0;0;#¡NUM!;#¡NUM!;;2574;5
;0;0;#¡NUM!;#¡NUM!;;2237;48
;0;0;#¡NUM!;#¡NUM!;;2290;16
;0;0;#¡NUM!;#¡NUM!;;2503;24
;0;0;#¡NUM!;#¡NUM!;;1457;12
;0;0;#¡NUM!;#¡NUM!;;1456;2
;0;0;#¡NUM!;#¡NUM!;;1755;14
;0;0;#¡NUM!;#¡NUM!;;1775;12
;0;0;#¡NUM!;#¡NUM!;;2036;11
;0;0;#¡NUM!;#¡NUM!;;2086;12
;0;0;#¡NUM!;#¡NUM!;;2087;24
;0;0;#¡NUM!;#¡NUM!;;2228;64
;0;0;#¡NUM!;#¡NUM!;;2485;4
;0;0;#¡NUM!;#¡NUM!;;1554;11
;0;0;#¡NUM!;#¡NUM!;;1718;10
;0;0;#¡NUM!;#¡NUM!;;2038;10
;0;0;#¡NUM!;#¡NUM!;;2056;8
;0;0;#¡NUM!;#¡NUM!;;2091;20
;0;0;#¡NUM!;#¡NUM!;;2097;15
